indicator,date,rate,symbol
low,2022-01-04 14:19:00,32.28,TTM
close,2022-01-04 14:19:00,32.28,TTM
open,2022-01-04 14:18:00,32.27,TTM
high,2022-01-04 14:18:00,32.28,TTM
low,2022-01-04 14:18:00,32.27,TTM
close,2022-01-04 14:18:00,32.28,TTM
open,2022-01-04 17:44:00,2887.88,GOOGL
high,2022-01-04 17:44:00,2887.88,GOOGL
low,2022-01-04 17:44:00,2887.88,GOOGL
close,2022-01-04 17:44:00,2887.88,GOOGL
open,2022-01-04 17:32:00,2883.0,GOOGL
high,2022-01-04 17:32:00,2883.0,GOOGL
low,2022-01-04 17:32:00,2883.0,GOOGL
close,2022-01-04 17:32:00,2883.0,GOOGL
open,2022-01-04 17:31:00,2886.71,GOOGL
high,2022-01-04 17:31:00,2886.71,GOOGL
low,2022-01-04 17:31:00,2886.71,GOOGL
close,2022-01-04 17:31:00,2886.71,GOOGL
open,2022-01-04 16:16:00,2883.0,GOOGL
high,2022-01-04 16:16:00,2883.0,GOOGL
low,2022-01-04 16:16:00,2883.0,GOOGL
close,2022-01-04 16:16:00,2883.0,GOOGL
open,2022-01-04 16:10:00,2886.79,GOOGL
high,2022-01-04 16:10:00,2886.79,GOOGL
low,2022-01-04 16:10:00,2886.79,GOOGL
close,2022-01-04 16:10:00,2886.79,GOOGL
open,2022-01-04 16:09:00,2887.99,GOOGL
high,2022-01-04 16:09:00,2887.99,GOOGL
low,2022-01-04 16:09:00,2887.99,GOOGL
close,2022-01-04 16:09:00,2887.99,GOOGL
open,2022-01-04 16:05:00,2883.21,GOOGL
high,2022-01-04 16:05:00,2883.21,GOOGL
low,2022-01-04 16:05:00,2882.21,GOOGL
close,2022-01-04 16:05:00,2882.21,GOOGL
open,2022-01-04 16:03:00,2887.99,GOOGL
high,2022-01-04 16:03:00,2887.99,GOOGL
low,2022-01-04 16:03:00,2887.99,GOOGL
close,2022-01-04 16:03:00,2887.99,GOOGL
open,2022-01-04 16:02:00,2887.99,GOOGL
high,2022-01-04 16:02:00,2887.99,GOOGL
low,2022-01-04 16:02:00,2887.99,GOOGL
close,2022-01-04 16:02:00,2887.99,GOOGL
open,2022-01-04 16:01:00,2887.99,GOOGL
high,2022-01-04 16:01:00,2887.99,GOOGL
low,2022-01-04 16:01:00,2887.99,GOOGL
close,2022-01-04 16:01:00,2887.99,GOOGL
open,2022-01-04 16:00:00,2890.19,GOOGL
high,2022-01-04 16:00:00,2890.56,GOOGL
low,2022-01-04 16:00:00,2886.75,GOOGL
close,2022-01-04 16:00:00,2887.51,GOOGL
open,2022-01-04 15:59:00,2891.345,GOOGL
high,2022-01-04 15:59:00,2891.71,GOOGL
low,2022-01-04 15:59:00,2890.19,GOOGL
close,2022-01-04 15:59:00,2890.53,GOOGL
open,2022-01-04 15:58:00,2891.31,GOOGL
high,2022-01-04 15:58:00,2892.79,GOOGL
low,2022-01-04 15:58:00,2889.92,GOOGL
close,2022-01-04 15:58:00,2891.91,GOOGL
open,2022-01-04 15:57:00,2891.3,GOOGL
high,2022-01-04 15:57:00,2892.22,GOOGL
low,2022-01-04 15:57:00,2891.0,GOOGL
close,2022-01-04 15:57:00,2892.055,GOOGL
open,2022-01-04 15:56:00,2891.52,GOOGL
high,2022-01-04 15:56:00,2893.0599,GOOGL
low,2022-01-04 15:56:00,2891.25,GOOGL
close,2022-01-04 15:56:00,2892.025,GOOGL
open,2022-01-04 15:55:00,2897.905,GOOGL
high,2022-01-04 15:55:00,2898.91,GOOGL
low,2022-01-04 15:55:00,2893.79,GOOGL
close,2022-01-04 15:55:00,2893.92,GOOGL
